line_use,use_of_sub,way_to_sub,use_of_sub,avg_time_min,experience,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,top_three_complaints,most_common_reason_for_delay,opinion_price,opinion_on_increased_fares,borough,location,zip_code,collection_method,date,time,month,day_name,hour,is_weekend
A,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,20 - 45 min,For-hire vehicle,Only on weekends,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Signal malfunction,True,Neutral,,,10033,online,2019-01-09,04:20:00,1,Wednesday,4,False
7,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Almost never,"['High fares', 'Overcrowded trains', 'Lack of handicap access']",Signal malfunction,False,Positive,,,11101,online,2019-01-09,04:21:00,1,Wednesday,4,False
F,Everyday / Almost everyday,Walk,Work,< 20 min,Very satisfied,Rarely,5 - 10 min,Walk,Only on weekends,"['Delays', 'Frequent route changes']",Train traffic,True,Other / No thoughts,,,10014,online,2019-01-09,04:30:00,1,Wednesday,4,False
A,Everyday / Almost everyday,Walk,School,40 - 60 min,Highly unsatisfied,,20 - 45 min,Use another train,All the time,"['Delays', 'Crime / Safety', 'Lack of handicap access']",Waiting for signal change,False,Positive,,,10032,online,2019-01-09,04:30:00,1,Wednesday,4,False
6,Everyday / Almost everyday,Walk,Other,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Frequent route changes', 'High fares', 'Station infrastructure']",Train traffic,False,Positive,,,,online,2019-01-09,04:31:00,1,Wednesday,4,False
1,Everyday / Almost everyday,Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Walk,Only on weekends,"['Customer service', 'Station infrastructure', 'Lack of handicap access']",Waiting for signal change,False,Negative,,,,online,2019-01-09,04:35:00,1,Wednesday,4,False
Q,"More than once a week, varies",Walk,Other,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,Only on weekends,"['Frequent route changes', 'Customer service', 'Station infrastructure']",Signal malfunction,True,Positive,,,10128,online,2019-01-09,04:37:00,1,Wednesday,4,False
D,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,For-hire vehicle,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Negative,,,,online,2019-01-09,04:48:00,1,Wednesday,4,False
R,"More than once a week, varies",Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,11209,online,2019-01-09,04:52:00,1,Wednesday,4,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Take a bus,Only at night,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Police incident,True,Positive,,,10025,online,2019-01-09,04:55:00,1,Wednesday,4,False
C,"More than once a week, varies",Walk,Other,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,Take a bus,Only on weekends,"['High fares', 'Station infrastructure', 'Old trains']",Sick passenger,False,Other / No thoughts,,,,online,2019-01-09,05:00:00,1,Wednesday,5,False
C,"More than once a week, varies",Walk,Other,< 20 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",No reason is given,True,Positive,,,10025,online,2019-01-09,05:02:00,1,Wednesday,5,False
3,"More than once a week, varies",Walk,School,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Crime / Safety', 'Station infrastructure']",Train traffic,True,Positive,,,10026,online,2019-01-09,05:02:00,1,Wednesday,5,False
4,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,False,Unaware,,,,online,2019-01-09,05:02:00,1,Wednesday,5,False
E,Everyday / Almost everyday,Walk,Work,90 min - 2 hours,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-09,05:06:00,1,Wednesday,5,False
N,"More than once a week, varies",Walk,Other,20 - 40 min,Neutral,A few times a week,20 - 45 min,Wait for next train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Negative,,,,online,2019-01-09,05:09:00,1,Wednesday,5,False
M,"Weekdays, Mon - Fri",Bus,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Signal malfunction,True,Positive,,,11379,online,2019-01-09,05:11:00,1,Wednesday,5,False
R,~5 days per week,Walk,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Station infrastructure', 'Old trains']",Train traffic,True,Positive,,,11209,online,2019-01-09,05:14:00,1,Wednesday,5,False
3,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['High fares', 'Crime / Safety', 'Overcrowded trains']",Sick passenger,False,Negative,,,10039,online,2019-01-09,05:16:00,1,Wednesday,5,False
1,~5 days per week,Walk,Work,< 20 min,Somewhat satisfied,Almost never,5 - 10 min,Use another train,Almost never,"['High fares', 'Station infrastructure', 'Lack of handicap access']",Train traffic,False,Negative,,,,online,2019-01-09,05:17:00,1,Wednesday,5,False
5,"More than once a week, varies",Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Waiting for signal change,False,Positive,,,10003,online,2019-01-09,05:18:00,1,Wednesday,5,False
1,"More than once a week, varies",Walk,Other,< 20 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,,online,2019-01-09,05:18:00,1,Wednesday,5,False
L,"Weekdays, Mon - Fri",Walk,School,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,False,Positive,,,,online,2019-01-09,05:19:00,1,Wednesday,5,False
A,~5 days per week,Walk,Work,< 20 min,Somewhat satisfied,Everyday,5 - 10 min,Use another train,Almost never,"['High fares', 'Station infrastructure', 'Lack of handicap access']",Train traffic,False,Negative,,,,online,2019-01-09,05:19:00,1,Wednesday,5,False
2,"More than once a week, varies",Walk,Other,< 20 min,Highly unsatisfied,Rarely,5 - 10 min,Use another train,Only on weekends,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",No reason is given,False,Positive,,,10023,online,2019-01-09,05:21:00,1,Wednesday,5,False
1,Everyday / Almost everyday,Bus,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,All the time,"['Delays', 'Crime / Safety', 'Customer service']",No reason is given,True,Positive,,,10018,online,2019-01-09,05:22:00,1,Wednesday,5,False
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,"['Frequent route changes', 'High fares', 'Overcrowded trains']",Train traffic,False,Negative,,,11218,online,2019-01-09,05:26:00,1,Wednesday,5,False
2,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Take a bus,Almost never,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Positive,,,10451,online,2019-01-09,05:26:00,1,Wednesday,5,False
R,"More than once a week, varies",Walk,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,Only on weekends,"['Crime / Safety', 'Customer service', 'Overcrowded trains']",No reason is given,True,Unaware,,,,online,2019-01-09,05:27:00,1,Wednesday,5,False
4,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,['Overcrowded trains'],Waiting for signal change,True,Other / No thoughts,,,,online,2019-01-09,05:38:00,1,Wednesday,5,False
Q,"More than once a week, varies",Walk,Other,20 - 40 min,Neutral,A few times a week,5 - 10 min,,Almost never,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Neutral,,,10021,online,2019-01-09,05:42:00,1,Wednesday,5,False
R,"More than once a week, varies",,School,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Negative,,,,online,2019-01-09,05:47:00,1,Wednesday,5,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Station infrastructure']",Waiting for signal change,True,Positive,,,11209,online,2019-01-09,05:48:00,1,Wednesday,5,False
1,Everyday / Almost everyday,Walk,Other,< 20 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Customer service', 'Lack of handicap access']",Train traffic,True,Neutral,,,,online,2019-01-09,05:49:00,1,Wednesday,5,False
Q,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Customer service', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-09,05:50:00,1,Wednesday,5,False
R,Everyday / Almost everyday,,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Neutral,,,11375,online,2019-01-09,05:52:00,1,Wednesday,5,False
1,~5 days per week,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Other / No thoughts,,,,online,2019-01-09,05:53:00,1,Wednesday,5,False
1,Everyday / Almost everyday,Walk,Other,20 - 40 min,Very satisfied,Almost never,5 - 10 min,Wait for next train,Almost never,['Lack of handicap access'],Train traffic,True,Unaware,,,10040,online,2019-01-09,05:53:00,1,Wednesday,5,False
A,~5 days per week,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Negative,,,,online,2019-01-09,05:53:00,1,Wednesday,5,False
1,Everyday / Almost everyday,Walk,Other,< 20 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-09,05:55:00,1,Wednesday,5,False
2,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Neutral,,,10036,online,2019-01-09,05:56:00,1,Wednesday,5,False
6,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Take a bus,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-09,05:56:00,1,Wednesday,5,False
Q,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Waiting for signal change,True,Positive,,,,online,2019-01-09,05:57:00,1,Wednesday,5,False
L,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,Rarely,20 - 45 min,Use another train,Only on weekends,"['Station infrastructure', 'Old trains', 'Overcrowded trains']",Signal malfunction,True,Unaware,,,,online,2019-01-09,06:02:00,1,Wednesday,6,False
2,Everyday / Almost everyday,Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-09,06:05:00,1,Wednesday,6,False
Q,Everyday / Almost everyday,Citibike,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Negative,,,,online,2019-01-09,06:07:00,1,Wednesday,6,False
J,~5 days per week,Walk,Work,< 20 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-09,06:09:00,1,Wednesday,6,False
E,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Neutral,,,,online,2019-01-09,06:09:00,1,Wednesday,6,False
A,"More than once a week, varies",Walk,Other,60 - 90 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,All the time,"['Delays', 'Old trains', 'Overcrowded trains']",Waiting for signal change,True,Positive,,,11691,online,2019-01-09,06:10:00,1,Wednesday,6,False
E,Everyday / Almost everyday,Walk,Other,20 - 40 min,Not satisfied,Everyday,10 - 20 min,,Only at night,"['Delays', 'Frequent route changes', 'Station infrastructure']",No reason is given,False,Positive,,,,online,2019-01-09,06:11:00,1,Wednesday,6,False
A,~5 days per week,Walk,Other,20 - 40 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Lack of handicap access']",Train traffic,True,Neutral,,,10032,online,2019-01-09,06:12:00,1,Wednesday,6,False
1,"Weekdays, Mon - Fri",Walk,School,20 - 40 min,Very satisfied,A few times a week,,Wait for next train,Almost never,"['Delays', 'Overcrowded trains']",Police incident,True,Negative,,,10031,online,2019-01-09,06:12:00,1,Wednesday,6,False
1,Everyday / Almost everyday,Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Negative,,,,online,2019-01-09,06:13:00,1,Wednesday,6,False
2,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Station infrastructure', 'Lack of handicap access']",Sick passenger,True,Positive,,,,online,2019-01-09,06:14:00,1,Wednesday,6,False
N,Everyday / Almost everyday,Walk,Work,40 - 60 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Customer service', 'Station infrastructure']",Train traffic,True,Positive,,,,online,2019-01-09,06:16:00,1,Wednesday,6,False
6,"Weekdays, Mon - Fri",Walk,Other,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Station infrastructure']",Signal malfunction,True,Positive,,,10016,online,2019-01-09,06:17:00,1,Wednesday,6,False
C,~5 days per week,Walk,Work,40 - 60 min,Neutral,Rarely,10 - 20 min,Use another train,All the time,"['Frequent route changes', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,,online,2019-01-09,06:19:00,1,Wednesday,6,False
1,Everyday / Almost everyday,Walk,Work,< 20 min,Highly unsatisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-09,06:20:00,1,Wednesday,6,False
1,Everyday / Almost everyday,Walk,Other,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Crime / Safety']",Signal malfunction,True,,,,,online,2019-01-09,06:20:00,1,Wednesday,6,False
N,Once a week,Bus,Other,20 - 40 min,Not satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,"['High fares', 'Crime / Safety', 'Overcrowded trains']",Train traffic,False,Negative,,,10009,online,2019-01-09,06:24:00,1,Wednesday,6,False
1,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only at night,"['Delays', 'Station infrastructure', 'Overcrowded trains']",No reason is given,True,Positive,,,10040,online,2019-01-09,06:26:00,1,Wednesday,6,False
1,"Weekdays, Mon - Fri",Walk,School,20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,Wait for next train,Almost never,"['High fares', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,,online,2019-01-09,06:28:00,1,Wednesday,6,False
6,Almost never,Walk,Work,20 - 40 min,Not satisfied,Rarely,20 - 45 min,Wait for next train,Almost never,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",Waiting for signal change,True,Positive,,,,online,2019-01-09,06:30:00,1,Wednesday,6,False
E,"More than once a week, varies",Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Crime / Safety', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,,,10012,online,2019-01-09,06:31:00,1,Wednesday,6,False
2,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Walk,All the time,"['Crime / Safety', 'Customer service', 'Overcrowded trains']",Sick passenger,True,Positive,,,,online,2019-01-09,06:31:00,1,Wednesday,6,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,False,Other / No thoughts,,,,online,2019-01-09,06:33:00,1,Wednesday,6,False
D,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Take a bus,Almost never,"['Frequent route changes', 'High fares', 'Crime / Safety']",Signal malfunction,True,Neutral,,,10451,online,2019-01-09,06:33:00,1,Wednesday,6,False
E,"More than once a week, varies",Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'High fares', 'Lack of handicap access']",Train traffic,False,Negative,,,10036,online,2019-01-09,06:35:00,1,Wednesday,6,False
6,Once a week,Walk,Other,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Neutral,,,,online,2019-01-09,06:37:00,1,Wednesday,6,False
A,Everyday / Almost everyday,Walk,,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-09,06:38:00,1,Wednesday,6,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,Rarely,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,,,,online,2019-01-09,06:39:00,1,Wednesday,6,False
F,Once a week,Walk,Other,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",No reason is given,True,Positive,,,10011,online,2019-01-09,06:39:00,1,Wednesday,6,False
1,"More than once a week, varies",Walk,Other,< 20 min,Highly unsatisfied,,10 - 20 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Signal malfunction,True,Other / No thoughts,,,10025,online,2019-01-09,06:39:00,1,Wednesday,6,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['High fares', 'Crime / Safety', 'Station infrastructure']",Sick passenger,False,Negative,,,11221,online,2019-01-09,06:39:00,1,Wednesday,6,False
3,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,,Only at night,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,False,Other / No thoughts,,,10037,online,2019-01-09,06:40:00,1,Wednesday,6,False
Q,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,10128,online,2019-01-09,06:40:00,1,Wednesday,6,False
A,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,False,Positive,,,10033,online,2019-01-09,06:41:00,1,Wednesday,6,False
1,~5 days per week,Walk,Other,< 20 min,Not satisfied,Rarely,5 - 10 min,Take a bus,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,10024,online,2019-01-09,06:41:00,1,Wednesday,6,False
1,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Almost never,"['Delays', 'Customer service']",Signal malfunction,True,Negative,,,10025,online,2019-01-09,06:44:00,1,Wednesday,6,False
3,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Customer service', 'Station infrastructure']",Signal malfunction,True,Unaware,,,,online,2019-01-09,06:44:00,1,Wednesday,6,False
1,Once a week,Walk,Other,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,True,Positive,,,,online,2019-01-09,06:46:00,1,Wednesday,6,False
A,~5 days per week,Walk,Work,60 - 90 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,10040,online,2019-01-09,06:48:00,1,Wednesday,6,False
6,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Neutral,A few times a week,10 - 20 min,For-hire vehicle,Only at night,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,,,10036,online,2019-01-09,06:49:00,1,Wednesday,6,False
7,"More than once a week, varies",Walk,Other,60 - 90 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,,,11355,online,2019-01-09,06:50:00,1,Wednesday,6,False
A,~5 days per week,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Almost never,"['Frequent route changes', 'Crime / Safety', 'Customer service']",Train traffic,True,Unaware,,,10034,online,2019-01-09,06:50:00,1,Wednesday,6,False
5,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['Old trains', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Neutral,,,10606,online,2019-01-09,06:50:00,1,Wednesday,6,False
2,~5 days per week,Bus,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Positive,,,10456,online,2019-01-09,06:51:00,1,Wednesday,6,False
2,Everyday / Almost everyday,Walk,Work,90 min - 2 hours,Highly unsatisfied,Everyday,20 - 45 min,Use another train,Only at night,"['Delays', 'High fares', 'Customer service']",Train traffic,False,Positive,,,11210,online,2019-01-09,06:51:00,1,Wednesday,6,False
6,~5 days per week,Walk,Work,< 20 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'High fares', 'Overcrowded trains']",No reason is given,True,Positive,,,,online,2019-01-09,06:52:00,1,Wednesday,6,False
A,~5 days per week,Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Almost never,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",Signal malfunction,False,Positive,,,10031,online,2019-01-09,06:52:00,1,Wednesday,6,False
Q,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Very satisfied,Rarely,5 - 10 min,Use another train,Almost never,"['Delays', 'Old trains', 'Overcrowded trains']",Train traffic,True,Unaware,,,,online,2019-01-09,06:55:00,1,Wednesday,6,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Neutral,Rarely,5 - 10 min,For-hire vehicle,Only on weekends,"['Frequent route changes', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Neutral,,,10031,online,2019-01-09,06:56:00,1,Wednesday,6,False
6,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,False,Positive,,,,online,2019-01-09,06:57:00,1,Wednesday,6,False
F,Everyday / Almost everyday,Bus,Work,< 20 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",No reason is given,False,Negative,,,10044,online,2019-01-09,07:01:00,1,Wednesday,7,False
D,"More than once a week, varies",Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,True,Neutral,,,,online,2019-01-09,07:02:00,1,Wednesday,7,False
N,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Old trains', 'Overcrowded trains']",Train traffic,True,Neutral,,,11103,online,2019-01-09,07:04:00,1,Wednesday,7,False
2,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Signal malfunction,False,Positive,,,,online,2019-01-09,07:04:00,1,Wednesday,7,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,True,Positive,,,10033,online,2019-01-09,07:04:00,1,Wednesday,7,False
R,Once a month,Drive personal vehicle,Other,60 - 90 min,Not satisfied,A few times a week,20 - 45 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Crime / Safety']",No reason is given,True,Positive,,,,online,2019-01-09,07:05:00,1,Wednesday,7,False
4,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Frequent route changes', 'Customer service', 'Overcrowded trains']",Train traffic,True,Neutral,,,11217,online,2019-01-09,07:06:00,1,Wednesday,7,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Station infrastructure', 'Old trains']",Signal malfunction,True,Neutral,,,,online,2019-01-09,07:06:00,1,Wednesday,7,False
6,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Signal malfunction,True,Positive,,,10003,online,2019-01-09,07:07:00,1,Wednesday,7,False
L,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Sick passenger,True,Positive,,,11237,online,2019-01-09,07:07:00,1,Wednesday,7,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Walk,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",No reason is given,True,Positive,,,10025,online,2019-01-09,07:08:00,1,Wednesday,7,False
